Strain	State	Collection Data	PANGO Lineage
Wuhan/WH01/2019		26/12/19	
hCoV-19/India/DL-NCDC-809163/2020	Delhi	21/12/20	Others
hCoV-19/India/DL-NCDC-1709242/2021	Delhi	19/03/21	Others
hCoV-19/India/DL-NCDC-1909352/2021	Delhi	31/03/21	Others
hCoV-19/India/DL-NCDC-1909367/2021	Delhi	31/03/21	Others
hCoV-19/India/DL-NCDC-1109267/2020	Delhi	14/12/20	B.1
hCoV-19/India/DL-NCDC-709232/2020	Delhi	22/12/20	B.1
hCoV-19/India/DL-NCDC-609286/2020	Delhi	17/12/20	B.1
hCoV-19/India/DL-NCDC-909306/2020	Delhi	05/12/20	B.1
hCoV-19/India/DL-NCDC-2509110/2021	Delhi	15/04/21	B.1.617.1
hCoV-19/India/DL-NCDC-250979/2021	Delhi	14/04/21	Others
hCoV-19/India/DL-NCDC-2509105/2021	Delhi	14/04/21	Others
hCoV-19/India/DL-NCDC-90948/2020	Delhi	15/12/20	B.1
hCoV-19/India/DEL-NCDC-INSACOG-2209212/2020	Delhi	05/12/20	Others
hCoV-19/India/DL-NCDC-90917/2020	Delhi	28/11/20	Others
hCoV-19/India/DL-NCDC-709306/2020	Delhi	26/11/20	Others
hCoV-19/India/DL-NCDC-90945/2020	Delhi	14/12/20	Others
hCoV-19/India/DL-NCDC-709356/2020	Delhi	18/12/20	Others
hCoV-19/India/DL-NCDC-709130/2020	Delhi	25/12/20	B.1
hCoV-19/India/DL-NCDC-809135/2020	Delhi	17/12/20	B.1
hCoV-19/India/DL-NCDC-709122/2020	Delhi	22/12/20	B.1
hCoV-19/India/DL-NCDC-90937/2020	Delhi	07/12/20	B.1
hCoV-19/India/DL-NCDC-1209188/2021	Delhi	16/01/21	Others
hCoV-19/India/DL-NCDC-809275/2021	Delhi	06/02/21	Others
hCoV-19/India/DL-NCDC-100988/2021	Delhi	08/02/21	Others
hCoV-19/India/DL-NCDC-809101/2020	Delhi	23/12/20	Others
hCoV-19/India/DL-NCDC-809102/2020	Delhi	23/12/20	Others
hCoV-19/India/DL-NCDC-1009131/2020	Delhi	19/12/20	B.1.1
hCoV-19/India/DL-NCDC-1009139/2020	Delhi	22/12/20	B.1.1
